Symbol,Sell Price,Date,Split Ratio
ACON,3.27,,
ADTX,11.44,,
AEHL,2.71,,
AGFY,2.77,,
AGRI,2.93,,
ALLR,2.35,,
ALPP,2.06,,
AMPE,4.5,,
AQB,3.72,,
AREB,2.43,,
ASNS,3.04,,
ASTI,8.61,,
ASTR,2.58,,
ATIP,12.98,,
ATNF,3.38,,
ATXI,4.71,,
AUID,6.9,,
AUMN,2.16,,
AUUD,3.2,,
AVGR,4.51,,
AVTX,8.18,,
AWIN,5.27,,
AYRO,2.62,,
BACK,2.41,,
BAOS,3.22,,
BBIG,2.34,,
BFRI,8.92,,
BKTI,10.86,,
BKYI,2.75,,
BLBX,2.53,,
BNTC,3.12,,
BON,3.74,,
BOXL,2.1,,
BPTH,5.51,,
BSGM,0.44,,
BTCY,2.67,,
BTOG,2.01,,
BTTR,6.86,,
BZFD,2.74,,
CEAD,6.72,,
CELZ,4.66,,
CENN,1.43,,
CHNR,2.27,,
CHR,3.46,,
CING,5.38,,
CISO,1.25,,
CJJD,2.96,,
CLEU,2.2,,
CMAX,6.99,,
CNSP,3.89,,
CPHI,0.59,,
CPOP,1.72,,
CTHR,2.34,,
DSS,2.01,,
DTSS,1.72,,
EAST,3.83,,
EBET,0.41,,
EDBL,6.65,,
EJH,1.78,,
ENG,2.02,,
EZFL,2.41,,
FFIE,7.88,,
FLNT,2.7,,
FRGT,2.06,,
GLMD,4.59,,
GMBL,2.34,,
GNPX,6.45,,
GREE,3.58,,
GROM,2.23,,
GSUN,2.35,,
GWAV,3.64,,
HEPA,7.27,,
HSCS,5.27,,
ICU,3.72,,
IFBD,6.01,,
IKT,3.41,,
INTZ,2.84,,
IONM,5.76,,
IVP,3.38,,
IZEA,2.68,,
JFBR,3.09,,
JWEL,1.96,,
JZXN,2.79,,
KAVL,2.52,,
KPLT,14.9,,
KRBP,4.26,,
KXIN,2.63,,
LFLY,9.39,,
LGVN,2.86,,
LIFW,1.82,,
LIQT,3.2,,
LKCO,1.9,,
LMFA,2.7,,
LPCN,3.54,,
LQR,1.3,,
LSDI,1.8,,
LYT,2.7,,
MBRX,4.66,,
MCOM,2.13,,
MEDS,13.9,,
MI,4.25,,
MIND,4.38,,
MLGO,4.66,,
MMAT,3.86,,
MNTS,8.0,,
MRAI,1.63,,
MULN,11.88,,
MYMD,3.52,,
NBY,2.77,,
NRXP,5.36,,
NTBL,3.03,,
NUTX,0.7,,
NVFY,3.04,,
NVOS,1.52,,
NVVE,5.2,,
NXU,2.19,,
OCG,1.31,,
OPGN,3.3,,
OTRK,1.64,,
OUST,3.44,,
PAVM,2.9,,
PCSA,2.11,,
PHUN,7.96,,
PIXY,11.55,,
PLAG,2.05,,
PLUR,5.66,,
POAI,2.74,,
PRE,4.8,,
PRFX,5.8,,
PRSO,6.63,,
PTIX,1.68,,
RCON,1.79,,
REBN,3.02,,
RETO,2.34,,
REVB,18.64,,
RNAZ,2.18,,
RVYL,4.23,,
SBFM,2.01,,
SDIG,5.43,,
SEAC,8.25,,
SGLY,2.92,,
SIDU,4.06,,
SINT,7.2,,
SISI,1.6,,
SLNH,2.89,,
SMFL,3.77,,
SNCE,4.16,,
SNCR,3.63,,
SOPA,1.76,,
SXTC,2.65,,
TAOP,2.76,,
TBLT,7.92,,
TCON,2.03,,
TENX,13.26,,
THAR,4.85,,
TLIS,7.34,,
TNXP,1.8,,
TTNP,6.4,,
UCAR,6.33,,
UK,3.73,,
UPC,1.52,,
VCNX,7.61,,
VERB,2.52,,
VERO,2.79,,
VIA,16.5,,
VINO,4.42,,
VRAX,1.48,,
VTVT,10.64,,
VVOS,3.12,,
VVPR,1.51,,
WAVD,2.97,,
WGS,8.35,,
WINT,5.11,,
WNW,2.2,,
WTER,1.42,,
XBIO,2.83,,
XXII,2.62,,
YOSH,5.85,,
ZAPP,2.44,,
ZCMD,1.82,,
ZVSA,5.36,,
